Restaurant → Name,Comment,Image yes/no,Created At,Tags,Predicted decision,Confidence,Reason codes
Baskeri & Basso,"The hidden backyard entrance leads to a bistro with wines, music, atmosphere, service and food to love. This is simple and honest cooking, like Baltic herring escabeche, steak tartar, fresh linguine, flank steak and great cheese. Look for the guy with the hat, patron Nicolas Thieulon, and tell him your wine wishes - mostly natural french and Italian, and enjoy the night. Hopeless to book, so walk ins after 9 PM should work. Or walk downstairs to the sister wine bar of BasBas.",no,2019-02-18 23:03:03.874,,Keep,high,specific_helpful
Noma,"Noma single handedly shaped the culinary landscape by its focus on the Nordic Region. Standing by its philosophy of Time and Place.

 It has evolved to be even more daring by showcasing three themes throughout the year. The Ocean, Plant Kingdom and Game Season. Each period is a showcase of the bounty that nature offers and Noma's creativity. A truly once in a lifetime experience.",no,2019-05-25 19:09:13.323,,Remove,high,marketing_or_ai_tone
Kosmos,"A true institution from 1923. Eat vorschmack and fried Baltic herring. 

Kosmos is a true institution in central Helsinki with the original interior. Founded in 1923 and still run by the same family, Kosmos has a unique atmosphere with a genuine feel of the old restaurant world. Eat vorschmack, fried Baltic herring, wienerschnitzel, creamed sweetbreads and pancakes with strawberry jam and have a cold beer and schnapps.",no,2022-10-19 12:32:03.906,,Recommendation needs editing,medium,spelling_issues
Ravintola Nolita,"A cozy neighbourhood bistro serving nice food with an inspiring wine list, mostly natural wines. Run by the Serbian-Portuguese-Catalunyan trio Luca Balac, Carlos Henriques and Albert Franch Sunyer from Nolla and Elm. Small and main dishes with a nice wine list with also lesser known wines from Eastern Europe. Keep an eye on the popup events here!",no,2024-01-28 14:16:30.733,"{Bistro,Bakery,Vegetarian,""Wine bar""}",Keep,high,specific_helpful
Restaurant Demo,"Tommi Tuominen's Demo is a modern FD-""veteran"" in Helsinki. Sometimes, undeservedly, forgotten as so many other restaurants have come in to compete in the same market. Small and intimate, but never intimidating. 
The cooking is excellent, the service impeccable. 
I recommend giving the restaurant a heads-up when making a reservation if you want a vegetarian dinner.",no,2019-03-20 09:27:04.596,{},Keep,high,specific_helpful
Restaurant Grön,Cozy restaurant with Nordic focus and vegetarian twist. Chefs work practically in the middle of the room. The founders grow their own plants in different parts of Finland.,no,2019-06-09 15:16:26.284,,Keep,high,specific_helpful
Ravintola Palace,One michelin star classic worth two stars. innovative cuisine with modern Nordic focus. Excellent wine list and views.,no,2019-06-09 15:21:13.252,,Keep,high,specific_helpful
Daddy Greens Pizzabar Töölö,"Pizza and the beer are on point. NY-Napolitan style pizza.

If you like Roberta's in New York, you'll love DG.  Zero-fucks-given about anything unnecessary. Pizza and the beer are on point. NY-Napolitan style pizza.",no,2019-09-16 10:00:35.568,,Keep,high,specific_helpful
Alchemist,Alchemist? An other world! Yes! Visually stunning? Yes. Each dish an added value? Yes. Overall experience but also eating pure? Every bite worth it. Amazing!,no,2019-09-27 23:38:24.528,,Keep,high,specific_helpful
Trattoria Da Enzo,Awesome classic Roman pasta – no bookings required for lunch which makes it easy to get a table as long as you are prepared to queue for a short time. On a recent visit a white truffle harvester turned up and we had a magic dish of freshly dug white truffles with buttered handmade pasta. Heaven. ,no,2019-10-06 21:05:55.109,,Keep,high,specific_helpful
